1: Year: 1970, Month: 1, Number of Sales: 155, Revenue: 3817572.26
165: Year: 1983, Month: 9, Number of Sales: 140, Revenue: 3590658.65
166: Year: 1983, Month: 10, Number of Sales: 156, Revenue: 3750241.47
167: Year: 1983, Month: 11, Number of Sales: 158, Revenue: 3869284.77
168: Year: 1983, Month: 12, Number of Sales: 193, Revenue: 5472097.46
169: Year: 1984, Month: 1, Number of Sales: 155, Revenue: 4223193.61
170: Year: 1984, Month: 2, Number of Sales: 135, Revenue: 3296719.95
171: Year: 1984, Month: 3, Number of Sales: 152, Revenue: 3808389.90
172: Year: 1984, Month: 4, Number of Sales: 131, Revenue: 3642109.38
173: Year: 1984, Month: 5, Number of Sales: 144, Revenue: 3725454.25
174: Year: 1984, Month: 6, Number of Sales: 161, Revenue: 4138806.40
175: Year: 1984, Month: 7, Number of Sales: 141, Revenue: 3898600.49
176: Year: 1984, Month: 8, Number of Sales: 181, Revenue: 4147228.68
177: Year: 1984, Month: 9, Number of Sales: 151, Revenue: 4052373.45
178: Year: 1984, Month: 10, Number of Sales: 154, Revenue: 4159018.24
179: Year: 1984, Month: 11, Number of Sales: 159, Revenue: 4183582.57
180: Year: 1984, Month: 12, Number of Sales: 154, Revenue: 4244553.25
181: Year: 1985, Month: 1, Number of Sales: 171, Revenue: 4630202.80
182: Year: 1985, Month: 2, Number of Sales: 155, Revenue: 3753104.68
183: Year: 1985, Month: 3, Number of Sales: 152, Revenue: 4111093.38
184: Year: 1985, Month: 4, Number of Sales: 150, Revenue: 4194349.23
185: Year: 1985, Month: 5, Number of Sales: 171, Revenue: 4351953.46
186: Year: 1985, Month: 6, Number of Sales: 155, Revenue: 3740062.97
187: Year: 1985, Month: 7, Number of Sales: 156, Revenue: 3640761.25
188: Year: 1985, Month: 8, Number of Sales: 179, Revenue: 4191114.13
189: Year: 1985, Month: 9, Number of Sales: 140, Revenue: 3275919.68
190: Year: 1985, Month: 10, Number of Sales: 168, Revenue: 3853471.85
191: Year: 1985, Month: 11, Number of Sales: 141, Revenue: 3443201.00
192: Year: 1985, Month: 12, Number of Sales: 169, Revenue: 4098900.18
193: Year: 1986, Month: 1, Number of Sales: 161, Revenue: 3787140.09
194: Year: 1986, Month: 2, Number of Sales: 143, Revenue: 2830186.90
195: Year: 1986, Month: 3, Number of Sales: 154, Revenue: 4698074.87
196: Year: 1986, Month: 4, Number of Sales: 144, Revenue: 3126421.44
197: Year: 1986, Month: 5, Number of Sales: 140, Revenue: 3572698.91
198: Year: 1986, Month: 6, Number of Sales: 148, Revenue: 3667709.48
199: Year: 1986, Month: 7, Number of Sales: 168, Revenue: 4525965.80
200: Year: 1986, Month: 8, Number of Sales: 167, Revenue: 4302225.83
201: Year: 1986, Month: 9, Number of Sales: 167, Revenue: 3633969.56
202: Year: 1986, Month: 10, Number of Sales: 145, Revenue: 3955298.81
203: Year: 1986, Month: 11, Number of Sales: 155, Revenue: 3614249.78
204: Year: 1986, Month: 12, Number of Sales: 156, Revenue: 4121139.98
205: Year: 1987, Month: 1, Number of Sales: 157, Revenue: 3813554.66
206: Year: 1987, Month: 2, Number of Sales: 148, Revenue: 3748137.25
207: Year: 1987, Month: 3, Number of Sales: 158, Revenue: 3548336.14
208: Year: 1987, Month: 4, Number of Sales: 153, Revenue: 3622515.94
209: Year: 1987, Month: 5, Number of Sales: 152, Revenue: 3317294.13
210: Year: 1987, Month: 6, Number of Sales: 148, Revenue: 3642587.08
211: Year: 1987, Month: 7, Number of Sales: 189, Revenue: 4899419.92
212: Year: 1987, Month: 8, Number of Sales: 160, Revenue: 4334470.52
213: Year: 1987, Month: 9, Number of Sales: 143, Revenue: 3589044.34
214: Year: 1987, Month: 10, Number of Sales: 152, Revenue: 4097093.69
215: Year: 1987, Month: 11, Number of Sales: 144, Revenue: 4149237.21
216: Year: 1987, Month: 12, Number of Sales: 166, Revenue: 4052881.58
217: Year: 1988, Month: 1, Number of Sales: 162, Revenue: 4001576.93
218: Year: 1988, Month: 2, Number of Sales: 138, Revenue: 3621423.12
219: Year: 1988, Month: 3, Number of Sales: 152, Revenue: 4176860.07
220: Year: 1988, Month: 4, Number of Sales: 142, Revenue: 3930580.25
221: Year: 1988, Month: 5, Number of Sales: 172, Revenue: 4304640.23
222: Year: 1988, Month: 6, Number of Sales: 151, Revenue: 4302197.75
223: Year: 1988, Month: 7, Number of Sales: 155, Revenue: 3826813.24
224: Year: 1988, Month: 8, Number of Sales: 163, Revenue: 4593409.41
225: Year: 1988, Month: 9, Number of Sales: 158, Revenue: 3668268.48
226: Year: 1988, Month: 10, Number of Sales: 146, Revenue: 3725184.30
227: Year: 1988, Month: 11, Number of Sales: 140, Revenue: 3370334.29
228: Year: 1988, Month: 12, Number of Sales: 140, Revenue: 3295898.56
229: Year: 1989, Month: 1, Number of Sales: 151, Revenue: 3790868.17
230: Year: 1989, Month: 2, Number of Sales: 132, Revenue: 3382429.42
231: Year: 1989, Month: 3, Number of Sales: 165, Revenue: 3855742.48
232: Year: 1989, Month: 4, Number of Sales: 151, Revenue: 3884554.78
233: Year: 1989, Month: 5, Number of Sales: 153, Revenue: 3776359.91
234: Year: 1989, Month: 6, Number of Sales: 161, Revenue: 3915360.07
235: Year: 1989, Month: 7, Number of Sales: 153, Revenue: 3820440.17
236: Year: 1989, Month: 8, Number of Sales: 155, Revenue: 4002521.97
237: Year: 1989, Month: 9, Number of Sales: 157, Revenue: 3864677.53
238: Year: 1989, Month: 10, Number of Sales: 140, Revenue: 3450449.44
239: Year: 1989, Month: 11, Number of Sales: 172, Revenue: 5027768.09
240: Year: 1989, Month: 12, Number of Sales: 131, Revenue: 3325307.30
241: Year: 1990, Month: 1, Number of Sales: 157, Revenue: 4344798.51
242: Year: 1990, Month: 2, Number of Sales: 132, Revenue: 3401987.38
243: Year: 1990, Month: 3, Number of Sales: 170, Revenue: 4533906.47
244: Year: 1990, Month: 4, Number of Sales: 140, Revenue: 3734469.95
245: Year: 1990, Month: 5, Number of Sales: 159, Revenue: 3945699.26
246: Year: 1990, Month: 6, Number of Sales: 171, Revenue: 4516192.39
247: Year: 1990, Month: 7, Number of Sales: 176, Revenue: 5259600.64
248: Year: 1990, Month: 8, Number of Sales: 130, Revenue: 3368383.87
249: Year: 1990, Month: 9, Number of Sales: 161, Revenue: 3919207.48
250: Year: 1990, Month: 10, Number of Sales: 173, Revenue: 4859573.57
251: Year: 1990, Month: 11, Number of Sales: 156, Revenue: 3982583.25
252: Year: 1990, Month: 12, Number of Sales: 176, Revenue: 4448637.44
253: Year: 1991, Month: 1, Number of Sales: 141, Revenue: 2981703.82
254: Year: 1991, Month: 2, Number of Sales: 160, Revenue: 3976727.82
255: Year: 1991, Month: 3, Number of Sales: 138, Revenue: 3381626.56
256: Year: 1991, Month: 4, Number of Sales: 163, Revenue: 4138834.49
257: Year: 1991, Month: 5, Number of Sales: 160, Revenue: 3652522.19
258: Year: 1991, Month: 6, Number of Sales: 162, Revenue: 3929777.01
259: Year: 1991, Month: 7, Number of Sales: 187, Revenue: 5181426.09
260: Year: 1991, Month: 8, Number of Sales: 185, Revenue: 4178495.62
261: Year: 1991, Month: 9, Number of Sales: 157, Revenue: 3906849.87
262: Year: 1991, Month: 10, Number of Sales: 149, Revenue: 4020379.68
263: Year: 1991, Month: 11, Number of Sales: 160, Revenue: 3502988.43
264: Year: 1991, Month: 12, Number of Sales: 169, Revenue: 3727142.92
265: Year: 1992, Month: 1, Number of Sales: 178, Revenue: 4645664.09
266: Year: 1992, Month: 2, Number of Sales: 192, Revenue: 4592873.72
267: Year: 1992, Month: 3, Number of Sales: 159, Revenue: 4251733.20
268: Year: 1992, Month: 4, Number of Sales: 161, Revenue: 4498168.44
269: Year: 1992, Month: 5, Number of Sales: 147, Revenue: 3948793.26
270: Year: 1992, Month: 6, Number of Sales: 153, Revenue: 3645335.16
271: Year: 1992, Month: 7, Number of Sales: 170, Revenue: 4107746.76
272: Year: 1992, Month: 8, Number of Sales: 134, Revenue: 3407988.50
273: Year: 1992, Month: 9, Number of Sales: 133, Revenue: 3595018.25
274: Year: 1992, Month: 10, Number of Sales: 150, Revenue: 3506294.83
275: Year: 1992, Month: 11, Number of Sales: 161, Revenue: 3712450.99
276: Year: 1992, Month: 12, Number of Sales: 152, Revenue: 3935210.83
277: Year: 1993, Month: 1, Number of Sales: 159, Revenue: 3518825.49
278: Year: 1993, Month: 2, Number of Sales: 148, Revenue: 4373784.28
279: Year: 1993, Month: 3, Number of Sales: 152, Revenue: 4006222.68
280: Year: 1993, Month: 4, Number of Sales: 154, Revenue: 3724570.30
281: Year: 1993, Month: 5, Number of Sales: 175, Revenue: 4062307.19
282: Year: 1993, Month: 6, Number of Sales: 164, Revenue: 4146489.03
283: Year: 1993, Month: 7, Number of Sales: 159, Revenue: 4196192.74
284: Year: 1993, Month: 8, Number of Sales: 159, Revenue: 3556349.87
285: Year: 1993, Month: 9, Number of Sales: 150, Revenue: 4162919.57
286: Year: 1993, Month: 10, Number of Sales: 157, Revenue: 4092149.23
287: Year: 1993, Month: 11, Number of Sales: 155, Revenue: 3708564.71
288: Year: 1993, Month: 12, Number of Sales: 153, Revenue: 3888690.20
289: Year: 1994, Month: 1, Number of Sales: 153, Revenue: 3664111.47
290: Year: 1994, Month: 2, Number of Sales: 123, Revenue: 3105399.38
291: Year: 1994, Month: 3, Number of Sales: 162, Revenue: 4009591.16
292: Year: 1994, Month: 4, Number of Sales: 148, Revenue: 4383960.51
293: Year: 1994, Month: 5, Number of Sales: 151, Revenue: 4127755.83
294: Year: 1994, Month: 6, Number of Sales: 142, Revenue: 3535063.33
295: Year: 1994, Month: 7, Number of Sales: 163, Revenue: 4016933.84
296: Year: 1994, Month: 8, Number of Sales: 159, Revenue: 4057423.21
297: Year: 1994, Month: 9, Number of Sales: 141, Revenue: 3732352.28
298: Year: 1994, Month: 10, Number of Sales: 133, Revenue: 3364854.64
299: Year: 1994, Month: 11, Number of Sales: 149, Revenue: 3828748.49
300: Year: 1994, Month: 12, Number of Sales: 153, Revenue: 3768486.80
301: Year: 1995, Month: 1, Number of Sales: 160, Revenue: 3878229.47
302: Year: 1995, Month: 2, Number of Sales: 131, Revenue: 3209826.86
303: Year: 1995, Month: 3, Number of Sales: 163, Revenue: 4103153.27
304: Year: 1995, Month: 4, Number of Sales: 163, Revenue: 4414690.70
305: Year: 1995, Month: 5, Number of Sales: 152, Revenue: 3769139.09
306: Year: 1995, Month: 6, Number of Sales: 149, Revenue: 3838342.55
307: Year: 1995, Month: 7, Number of Sales: 161, Revenue: 3502584.29
308: Year: 1995, Month: 8, Number of Sales: 153, Revenue: 3950503.20
309: Year: 1995, Month: 9, Number of Sales: 141, Revenue: 3962208.36
310: Year: 1995, Month: 10, Number of Sales: 166, Revenue: 3998119.40
311: Year: 1995, Month: 11, Number of Sales: 143, Revenue: 3009187.94
312: Year: 1995, Month: 12, Number of Sales: 160, Revenue: 4172759.90
313: Year: 1996, Month: 1, Number of Sales: 156, Revenue: 4115400.14
314: Year: 1996, Month: 2, Number of Sales: 130, Revenue: 3087863.32
315: Year: 1996, Month: 3, Number of Sales: 149, Revenue: 3488363.15
316: Year: 1996, Month: 4, Number of Sales: 146, Revenue: 4099196.26
317: Year: 1996, Month: 5, Number of Sales: 172, Revenue: 4375044.88
318: Year: 1996, Month: 6, Number of Sales: 171, Revenue: 3858082.63
319: Year: 1996, Month: 7, Number of Sales: 142, Revenue: 3026295.28
320: Year: 1996, Month: 8, Number of Sales: 161, Revenue: 3954459.80
321: Year: 1996, Month: 9, Number of Sales: 156, Revenue: 3812603.50
322: Year: 1996, Month: 10, Number of Sales: 153, Revenue: 3710064.02
323: Year: 1996, Month: 11, Number of Sales: 138, Revenue: 3232968.60
324: Year: 1996, Month: 12, Number of Sales: 147, Revenue: 3334628.70
325: Year: 1997, Month: 1, Number of Sales: 141, Revenue: 3526123.88
326: Year: 1997, Month: 2, Number of Sales: 126, Revenue: 3656221.14
327: Year: 1997, Month: 3, Number of Sales: 153, Revenue: 4113723.18
328: Year: 1997, Month: 4, Number of Sales: 186, Revenue: 4553398.78
329: Year: 1997, Month: 5, Number of Sales: 148, Revenue: 3925700.60
330: Year: 1997, Month: 6, Number of Sales: 154, Revenue: 4109269.88
331: Year: 1997, Month: 7, Number of Sales: 161, Revenue: 4480656.87
332: Year: 1997, Month: 8, Number of Sales: 155, Revenue: 3864444.69
333: Year: 1997, Month: 9, Number of Sales: 162, Revenue: 3954178.57
334: Year: 1997, Month: 10, Number of Sales: 143, Revenue: 3784135.19
335: Year: 1997, Month: 11, Number of Sales: 156, Revenue: 3782442.14
336: Year: 1997, Month: 12, Number of Sales: 181, Revenue: 4887951.79
337: Year: 1998, Month: 1, Number of Sales: 156, Revenue: 3706147.65
338: Year: 1998, Month: 2, Number of Sales: 152, Revenue: 3741013.99
339: Year: 1998, Month: 3, Number of Sales: 164, Revenue: 4003461.83
340: Year: 1998, Month: 4, Number of Sales: 152, Revenue: 3532877.67
341: Year: 1998, Month: 5, Number of Sales: 169, Revenue: 4418241.25
342: Year: 1998, Month: 6, Number of Sales: 144, Revenue: 3780315.89
343: Year: 1998, Month: 7, Number of Sales: 146, Revenue: 3765761.96
344: Year: 1998, Month: 8, Number of Sales: 176, Revenue: 4146021.08
345: Year: 1998, Month: 9, Number of Sales: 143, Revenue: 3393988.74
346: Year: 1998, Month: 10, Number of Sales: 163, Revenue: 4076171.36
347: Year: 1998, Month: 11, Number of Sales: 148, Revenue: 3368885.63
348: Year: 1998, Month: 12, Number of Sales: 150, Revenue: 3499433.46
349: Year: 1999, Month: 1, Number of Sales: 150, Revenue: 3378845.20
350: Year: 1999, Month: 2, Number of Sales: 127, Revenue: 3270614.63
351: Year: 1999, Month: 3, Number of Sales: 153, Revenue: 3523444.49
352: Year: 1999, Month: 4, Number of Sales: 144, Revenue: 3753931.97
353: Year: 1999, Month: 5, Number of Sales: 150, Revenue: 3900775.94
354: Year: 1999, Month: 6, Number of Sales: 150, Revenue: 3881339.32
355: Year: 1999, Month: 7, Number of Sales: 156, Revenue: 3864462.17
356: Year: 1999, Month: 8, Number of Sales: 161, Revenue: 4158331.64
357: Year: 1999, Month: 9, Number of Sales: 162, Revenue: 4088449.48
358: Year: 1999, Month: 10, Number of Sales: 169, Revenue: 4010999.13
359: Year: 1999, Month: 11, Number of Sales: 158, Revenue: 3868741.69
360: Year: 1999, Month: 12, Number of Sales: 154, Revenue: 3951112.61
361: Year: 2000, Month: 1, Number of Sales: 174, Revenue: 4623507.49
362: Year: 2000, Month: 2, Number of Sales: 143, Revenue: 3438053.68
363: Year: 2000, Month: 3, Number of Sales: 173, Revenue: 4100726.57
364: Year: 2000, Month: 4, Number of Sales: 127, Revenue: 3372127.95
365: Year: 2000, Month: 5, Number of Sales: 142, Revenue: 3526496.28
366: Year: 2000, Month: 6, Number of Sales: 141, Revenue: 3675858.34
367: Year: 2000, Month: 7, Number of Sales: 162, Revenue: 4140080.33
368: Year: 2000, Month: 8, Number of Sales: 151, Revenue: 4344270.54
369: Year: 2000, Month: 9, Number of Sales: 162, Revenue: 4035974.72
370: Year: 2000, Month: 10, Number of Sales: 147, Revenue: 4237274.10
371: Year: 2000, Month: 11, Number of Sales: 165, Revenue: 3847140.92
372: Year: 2000, Month: 12, Number of Sales: 157, Revenue: 3631565.63
373: Year: 2001, Month: 1, Number of Sales: 151, Revenue: 3547956.11
374: Year: 2001, Month: 2, Number of Sales: 128, Revenue: 3559540.19
375: Year: 2001, Month: 3, Number of Sales: 172, Revenue: 4533848.34
376: Year: 2001, Month: 4, Number of Sales: 151, Revenue: 3756078.73
377: Year: 2001, Month: 5, Number of Sales: 157, Revenue: 4362708.14
